# HARD train tape [action] (disjoint banks, seed-split). near-miss->NO_OP.
# tick kind payload salience expect
27    EVENT.idle.clean         "carry on"                                      0.56  NO_OP
28    EVENT.keep.invoke        "save this fact our prod region is us-east-1"   0.52  KEEP
29    EVENT.idle.clean         "hmm"                                           0.55  NO_OP
30    EVENT.idle.clean         "hmm"                                           0.84  NO_OP
31    EVENT.idle.clean         "good morning"                                  0.62  NO_OP
32    EVENT.idle.clean         "just thinking"                                 0.83  NO_OP
33    EVENT.chat.nearmiss      "notes pile up faster than i can read them"     0.86  NO_OP
34    EVENT.chat.nearmiss      "we should automate more of this someday"       0.71  NO_OP
35    EVENT.idle.clean         "good morning"                                  0.51  NO_OP
36    EVENT.action.invoke      "assign this tas to priya"                      0.62  ACTION
37    EVENT.chat.nearmiss      "i lost my keys again this morning"             0.87  NO_OP
38    EVENT.action.invoke      "open teh dashboard now"                        0.46  ACTION
39    EVENT.idle.clean         "good morning"                                  0.74  NO_OP
40    EVENT.idle.clean         "hmm"                                           0.45  NO_OP
41    EVENT.chat.nearmiss      "saving everything just creates clutter"        0.44  NO_OP
42    EVENT.keep.invoke        "ok so remember teh door pin is 4417"           0.47  KEEP
43    EVENT.forget.invoke      "drop the note about the invoice number"        0.8   FORGET
44    EVENT.idle.clean         "just thinking"                                 0.41  NO_OP
45    EVENT.chat.nearmiss      "we should automate more of this someday"       0.47  NO_OP
46    EVENT.idle.clean         "good morning"                                  0.83  NO_OP
47    EVENT.chat.nearmiss      "i keep forgetting things lately"               0.54  NO_OP
48    EVENT.chat.nearmiss      "deploys make me nervous honestly"              0.89  NO_OP
49    EVENT.chat.nearmiss      "notes pile up faster than i can read them"     0.49  NO_OP
50    EVENT.keep.invoke        "remember the door pin is 4417"                 0.81  KEEP
51    EVENT.keep.invoke        "note for later the client prefers email over calls" 0.53  KEEP
52    EVENT.chat.nearmiss      "saving everything just creates clutter"        0.58  NO_OP
53    EVENT.chat.nearmiss      "running tests is always tedious"               0.53  NO_OP
54    EVENT.forget.invoke      "erase the record about the wifi code"          0.65  FORGET
55    EVENT.chat.nearmiss      "i keep forgetting things lately"               0.63  NO_OP
56    EVENT.action.invoke      "send teh statu email to the team"              0.55  ACTION
57    EVENT.action.invoke      "ssign this task to priya"                      0.72  ACTION
58    EVENT.action.invoke      "assign this task to priya"                     0.88  ACTION
59    EVENT.action.invoke      "assign this task to priya"                     0.53  ACTION
60    EVENT.keep.invoke        "uh remember the spare key is under the third pot" 0.61  KEEP
61    EVENT.action.invoke      "send the status email to the team"             0.57  ACTION
62    EVENT.idle.clean         "carry on"                                      0.57  NO_OP
63    EVENT.action.invoke      "pls archiv the closed threads"                 0.42  ACTION
64    EVENT.chat.nearmiss      "i keep forgetting things lately"               0.74  NO_OP
65    EVENT.chat.nearmiss      "running tests is always tedious"               0.65  NO_OP
66    EVENT.chat.nearmiss      "i can never remember where i put things"       0.67  NO_OP
67    EVENT.action.invoke      "schedule the meeting for friday"               0.49  ACTION
68    EVENT.chat.nearmiss      "memory is such a hard problem in these systems" 0.81  NO_OP
69    EVENT.idle.clean         "status ok"                                     0.55  NO_OP
70    EVENT.chat.nearmiss      "we should automate more of this someday"       0.77  NO_OP
71    EVENT.chat.nearmiss      "saving everything just creates clutter"        0.66  NO_OP
72    EVENT.chat.nearmiss      "running tests is always tedious"               0.47  NO_OP
73    EVENT.action.invoke      "deploy the build to staging"                   0.47  ACTION
74    EVENT.chat.nearmiss      "we should automate more of this someday"       0.75  NO_OP
75    EVENT.action.invoke      "archive the closed threads"                    0.73  ACTION
76    EVENT.idle.clean         "carry on"                                      0.75  NO_OP
77    EVENT.chat.nearmiss      "i can never remember where i put things"       0.57  NO_OP
78    EVENT.keep.invoke        "remember the spare key is under the third pot" 0.46  KEEP
79    EVENT.action.invoke      "create a ticket for this bug"                  0.67  ACTION
80    EVENT.e2b_tool.invoke    "ok so execute this query in the sandbox"       0.84  E2B_TOOL
81    EVENT.action.invoke      "uh post the udate to the channel"              0.74  ACTION
82    EVENT.keep.invoke        "remember my flight is at 6am tuesday"          0.81  KEEP
83    EVENT.chat.nearmiss      "i can never remember where i put things"       0.56  NO_OP
84    EVENT.forget.invoke      "drop teh note about the invoice number"        0.54  FORGET
85    EVENT.idle.clean         "status ok"                                     0.6   NO_OP
86    EVENT.action.invoke      "restart the web service"                       0.77  ACTION
87    EVENT.keep.invoke        "uh savethat the wifi code is bluefox42"        0.55  KEEP
88    EVENT.chat.nearmiss      "i lost my keys again this morning"             0.87  NO_OP
89    EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.47  NO_OP
90    EVENT.idle.clean         "hmm"                                           0.79  NO_OP
91    EVENT.chat.nearmiss      "i keep forgetting things lately"               0.49  NO_OP
92    EVENT.chat.nearmiss      "saving everything just creates clutter"        0.41  NO_OP
93    EVENT.e2b_tool.invoke    "compute the checksum of this file"             0.86  E2B_TOOL
94    EVENT.chat.nearmiss      "notes pile up faster than i can read them"     0.5   NO_OP
95    EVENT.idle.clean         "just thinking"                                 0.58  NO_OP
96    EVENT.keep.invoke        "store the fact that sarah owns the billing account" 0.52  KEEP
97    EVENT.keep.invoke        "keep in mind teh deadline moved to the 14th"   0.42  KEEP
98    EVENT.action.invoke      "post the update to the channel"                0.48  ACTION
99    EVENT.keep.invoke        "um note that the invoice number is 8841"       0.76  KEEP
100   EVENT.idle.clean         "carry on"                                      0.51  NO_OP
101   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.87  NO_OP
102   EVENT.idle.clean         "hmm"                                           0.72  NO_OP
103   EVENT.chat.nearmiss      "memory is such a hard problem in these systems" 0.44  NO_OP
104   EVENT.idle.clean         "status ok"                                     0.83  NO_OP
105   EVENT.chat.nearmiss      "i keep forgetting things lately"               0.89  NO_OP
106   EVENT.chat.nearmiss      "running tests is always tedious"               0.72  NO_OP
107   EVENT.keep.invoke        "note for later the client prefers email over calls" 0.68  KEEP
108   EVENT.action.invoke      "send the status email to the team"             0.53  ACTION
109   EVENT.chat.nearmiss      "running tests is always tedious"               0.6   NO_OP
110   EVENT.action.invoke      "post th update to the channel"                 0.79  ACTION
111   EVENT.chat.nearmiss      "notes pile up faster than i can read them"     0.43  NO_OP
112   EVENT.keep.invoke        "keep in mind the deadline moved to the 14th"   0.62  KEEP
113   EVENT.chat.nearmiss      "i lost my keys again this morning"             0.47  NO_OP
114   EVENT.chat.nearmiss      "i can never remember where i put things"       0.83  NO_OP
115   EVENT.idle.clean         "status ok"                                     0.68  NO_OP
116   EVENT.idle.clean         "status ok"                                     0.77  NO_OP
117   EVENT.keep.invoke        "note for later the client prefers email over calls" 0.55  KEEP
118   EVENT.action.invoke      "assign this task to priya"                     0.59  ACTION
119   EVENT.chat.nearmiss      "i keep forgetting things lately"               0.56  NO_OP
120   EVENT.idle.clean         "good morning"                                  0.71  NO_OP
121   EVENT.idle.clean         "good morning"                                  0.43  NO_OP
122   EVENT.forget.invoke      "uh erase the record about the wifi code"       0.49  FORGET
123   EVENT.idle.clean         "just thinking"                                 0.79  NO_OP
124   EVENT.keep.invoke        "remember the door pin is 4417"                 0.86  KEEP
125   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.83  NO_OP
126   EVENT.chat.nearmiss      "notes pile up faster than i can read them"     0.9   NO_OP
127   EVENT.action.invoke      "open teh dashboard now"                        0.72  ACTION
128   EVENT.chat.nearmiss      "we should automate more of this someday"       0.87  NO_OP
129   EVENT.action.invoke      "uh archive he closed threads"                  0.78  ACTION
130   EVENT.action.invoke      "archive the closed threads"                    0.56  ACTION
131   EVENT.e2b_tool.invoke    "run this python snippet for me"                0.72  E2B_TOOL
132   EVENT.forget.invoke      "forget the deadline i mentioned earlier"       0.8   FORGET
133   EVENT.keep.invoke        "note for later the client prefers email over calls" 0.89  KEEP
134   EVENT.idle.clean         "good morning"                                  0.41  NO_OP
135   EVENT.forget.invoke      "ok so drop the note about th invoice number"   0.45  FORGET
136   EVENT.keep.invoke        "note for later the client prefers email over calls" 0.79  KEEP
137   EVENT.forget.invoke      "delete the note about the client preference"   0.61  FORGET
138   EVENT.action.invoke      "post the update to the channel"                0.59  ACTION
139   EVENT.idle.clean         "good morning"                                  0.8   NO_OP
140   EVENT.keep.invoke        "note that the invoice number is 8841"          0.9   KEEP
141   EVENT.idle.clean         "status ok"                                     0.87  NO_OP
142   EVENT.idle.clean         "status ok"                                     0.86  NO_OP
143   EVENT.chat.nearmiss      "saving everything just creates clutter"        0.89  NO_OP
144   EVENT.idle.clean         "hmm"                                           0.45  NO_OP
145   EVENT.idle.clean         "just thinking"                                 0.67  NO_OP
146   EVENT.action.invoke      "post tehupdate to the channel"                 0.46  ACTION
147   EVENT.chat.nearmiss      "notes pile up faster than i can read them"     0.48  NO_OP
148   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.63  NO_OP
149   EVENT.chat.nearmiss      "running tests is always tedious"               0.53  NO_OP
150   EVENT.chat.nearmiss      "i keep forgetting things lately"               0.71  NO_OP
151   EVENT.idle.clean         "hmm"                                           0.82  NO_OP
152   EVENT.e2b_tool.invoke    "pls run this python snippet for me"            0.61  E2B_TOOL
153   EVENT.chat.nearmiss      "we should automate more of this someday"       0.48  NO_OP
154   EVENT.keep.invoke        "remember that the staging password is hunter2" 0.42  KEEP
155   EVENT.idle.clean         "carry on"                                      0.56  NO_OP
156   EVENT.idle.clean         "just thinking"                                 0.76  NO_OP
157   EVENT.action.invoke      "create a ticket for this bug"                  0.74  ACTION
158   EVENT.idle.clean         "hmm"                                           0.63  NO_OP
159   EVENT.chat.nearmiss      "saving everything just creates clutter"        0.76  NO_OP
160   EVENT.forget.invoke      "erase the record about the wifi code"          0.41  FORGET
161   EVENT.action.invoke      "post the update to the channel"                0.84  ACTION
162   EVENT.action.invoke      "deploy the build to staging"                   0.89  ACTION
163   EVENT.idle.clean         "status ok"                                     0.52  NO_OP
164   EVENT.chat.nearmiss      "we should automate more of this someday"       0.53  NO_OP
165   EVENT.idle.clean         "carry on"                                      0.54  NO_OP
166   EVENT.idle.clean         "good morning"                                  0.57  NO_OP
167   EVENT.keep.invoke        "wait remember that he staging password is hunter2" 0.87  KEEP
168   EVENT.action.invoke      "post the update to the channel"                0.43  ACTION
169   EVENT.idle.clean         "carry on"                                      0.51  NO_OP
170   EVENT.action.invoke      "wat schedule the meeting for friday"           0.51  ACTION
171   EVENT.idle.clean         "status ok"                                     0.78  NO_OP
172   EVENT.keep.invoke        "jot down that the api base url changed"        0.56  KEEP
173   EVENT.chat.nearmiss      "running tests is always tedious"               0.55  NO_OP
174   EVENT.chat.nearmiss      "running tests is always tedious"               0.41  NO_OP
175   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.46  NO_OP
176   EVENT.action.invoke      "post the update to the channel"                0.48  ACTION
177   EVENT.e2b_tool.invoke    "run this python snippet for me"                0.79  E2B_TOOL
178   EVENT.idle.clean         "just thinking"                                 0.41  NO_OP
179   EVENT.idle.clean         "carry on"                                      0.44  NO_OP
180   EVENT.chat.nearmiss      "we should automate more of this someday"       0.8   NO_OP
181   EVENT.action.invoke      "send the status email to the team"             0.67  ACTION
182   EVENT.forget.invoke      "scratch that fact about the region"            0.44  FORGET
183   EVENT.idle.clean         "status ok"                                     0.6   NO_OP
184   EVENT.chat.nearmiss      "memory is such a hard problem in these systems" 0.43  NO_OP
185   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.79  NO_OP
186   EVENT.idle.clean         "status ok"                                     0.57  NO_OP
187   EVENT.keep.invoke        "remember my flight is at 6am tuesday"          0.46  KEEP
188   EVENT.chat.nearmiss      "running tests is always tedious"               0.76  NO_OP
189   EVENT.idle.clean         "status ok"                                     0.8   NO_OP
190   EVENT.chat.nearmiss      "saving everything just creates clutter"        0.46  NO_OP
191   EVENT.idle.clean         "carry on"                                      0.67  NO_OP
192   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.5   NO_OP
193   EVENT.idle.clean         "good morning"                                  0.87  NO_OP
194   EVENT.chat.nearmiss      "deploys make me nervous honestly"              0.82  NO_OP
195   EVENT.chat.nearmiss      "i keep forgetting things lately"               0.58  NO_OP
196   EVENT.chat.nearmiss      "i can never remember where i put things"       0.65  NO_OP
197   EVENT.chat.nearmiss      "i keep forgetting things lately"               0.85  NO_OP
198   EVENT.chat.nearmiss      "we should automate more of this someday"       0.43  NO_OP
199   EVENT.chat.nearmiss      "saving everything just creates clutter"        0.75  NO_OP
200   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.74  NO_OP
201   EVENT.keep.invoke        "note that the invoice number is 8841"          0.43  KEEP
202   EVENT.chat.nearmiss      "i can never remember where i put things"       0.48  NO_OP
203   EVENT.idle.clean         "good morning"                                  0.81  NO_OP
204   EVENT.chat.nearmiss      "i wonder if we should remember more context"   0.73  NO_OP
205   EVENT.chat.nearmiss      "saving everything just creates clutter"        0.87  NO_OP
206   EVENT.chat.nearmiss      "saving everything just creates clutter"        0.63  NO_OP
207   EVENT.idle.clean         "just thinking"                                 0.49  NO_OP
208   EVENT.chat.nearmiss      "i lost my keys again this morning"             0.61  NO_OP
209   EVENT.chat.nearmiss      "deploys make me nervous honestly"              0.44  NO_OP
210   EVENT.chat.nearmiss      "running tests is always tedious"               0.89  NO_OP
211   EVENT.idle.clean         "good morning"                                  0.54  NO_OP
212   EVENT.chat.nearmiss      "deploys make me nervous honestly"              0.84  NO_OP
213   EVENT.idle.clean         "good morning"                                  0.71  NO_OP
214   EVENT.keep.invoke        "save this fact our prod region is us-east-1"   0.46  KEEP
215   EVENT.keep.invoke        "keep in mind the deadline moved to the 14th"   0.88  KEEP
216   EVENT.action.invoke      "post the update to the channel"                0.64  ACTION
217   EVENT.action.invoke      "create a ticket for this bug"                  0.6   ACTION
218   EVENT.idle.clean         "status ok"                                     0.75  NO_OP
219   EVENT.idle.clean         "just thinking"                                 0.84  NO_OP
