# HARD ood tape (disjoint banks, seed-split). near-miss->NONE, CALC=math PYTHON=code.
# tick kind payload salience expect
66    EVENT.calc.invoke        "take 7 percent off 1290"                       0.79  CALC
67    EVENT.chat.nearmiss      "what's the history of the square root symbol"  0.45  NONE
68    EVENT.python.invoke      "which token here is teh longest"               0.42  PYTHON
69    EVENT.chat.nearmiss      "we migrated the db schema last quarter"        0.57  NONE
70    EVENT.db.invoke          "how many sessions started this morning"        0.83  DB
71    EVENT.file.invoke        "save these noes to a file"                     0.69  FILE
72    EVENT.chat.nearmiss      "what's the history of the square root symbol"  0.74  NONE
73    EVENT.web.invoke         "um what's the newest version on the releases page" 0.63  WEB
74    EVENT.db.invoke          "pls transactions above fifty euros this week"  0.85  DB
75    EVENT.idle.clean         "sounds good"                                   0.58  NONE
76    EVENT.db.invoke          "transactions above fifty euros this week"      0.8   DB
77    EVENT.idle.clean         "sounds good"                                   0.72  NONE
78    EVENT.idle.clean         "all quiet"                                     0.67  NONE
79    EVENT.idle.clean         "carry on"                                      0.69  NONE
80    EVENT.chat.nearmiss      "the site has been slow lately"                 0.43  NONE
81    EVENT.web.invoke         "what's the newest version on the releases page" 0.64  WEB
82    EVENT.python.invoke      "is 1009 a prime number"                        0.51  PYTHON
83    EVENT.chat.nearmiss      "logs pile up so fast these days"               0.52  NONE
84    EVENT.file.invoke        "what files are in the cache folder"            0.87  FILE
85    EVENT.calc.invoke        "annualized return if 500 becomes 650 over 2 years" 0.61  CALC
86    EVENT.python.invoke      "capitalize every other character of banana"    0.74  PYTHON
87    EVENT.chat.nearmiss      "tell me a fun fact about percentages"          0.83  NONE
88    EVENT.web.invoke         "what's the newest vrsion on the releases page" 0.75  WEB
89    EVENT.chat.nearmiss      "tell me a fun fact about percentages"          0.78  NONE
90    EVENT.chat.nearmiss      "tell me a fun fact about percentages"          0.43  NONE
91    EVENT.db.invoke          "select the total record count from logs"       0.85  DB
92    EVENT.chat.nearmiss      "prime numbers are weirdly beautiful"           0.54  NONE
93    EVENT.db.invoke          "transactions above fifty euros this week"      0.77  DB
94    EVENT.chat.nearmiss      "i love how recursion looks on paper"           0.42  NONE
95    EVENT.idle.clean         "carry on"                                      0.58  NONE
96    EVENT.calc.invoke        "divide 144 by 12 then add 9"                   0.45  CALC
97    EVENT.file.invoke        "what files are in the cache folder"            0.64  FILE
98    EVENT.idle.clean         "morning"                                       0.62  NONE
99    EVENT.idle.clean         "morning"                                       0.5   NONE
100   EVENT.chat.nearmiss      "tell me a fun fact about percentages"          0.73  NONE
101   EVENT.idle.clean         "carry on"                                      0.65  NONE
102   EVENT.chat.nearmiss      "the site has been slow lately"                 0.85  NONE
103   EVENT.chat.nearmiss      "prime numbers are weirdly beautiful"           0.84  NONE
104   EVENT.db.invoke          "select the total record count from logs"       0.53  DB
105   EVENT.db.invoke          "select the total record count from logs"       0.69  DB
106   EVENT.idle.clean         "noted"                                         0.82  NONE
107   EVENT.chat.nearmiss      "yaml is such a fiddly format"                  0.56  NONE
108   EVENT.idle.clean         "morning"                                       0.4   NONE
109   EVENT.idle.clean         "sounds good"                                   0.54  NONE
110   EVENT.idle.clean         "carry on"                                      0.44  NONE
111   EVENT.chat.nearmiss      "prime numbers are weirdly beautiful"           0.89  NONE
112   EVENT.idle.clean         "sounds good"                                   0.66  NONE
113   EVENT.file.invoke        "save these notes to a file"                    0.45  FILE
114   EVENT.python.invoke      "order these strings by length"                 0.62  PYTHON
115   EVENT.idle.clean         "sounds good"                                   0.54  NONE
116   EVENT.idle.clean         "noted"                                         0.57  NONE
117   EVENT.chat.nearmiss      "we migrated the db schema last quarter"        0.76  NONE
118   EVENT.db.invoke          "how many sessions started this morning"        0.82  DB
119   EVENT.file.invoke        "save these notes to a file"                    0.62  FILE
